airport,flygplats
embassy,ambassad
port,hamn
bakery,bageri (n)
factory,fabrik
prison,fängelse (n)
bank,bank
farm,bondgård
restaurant,restaurang
bar,bar
fountain,fontän/brunn
road/street,gata
barn,lada
garage,garage (n)
school,skola
barracks,kasern
hospital,sjukhus (n)
sidewalk,trottoar
bench,bänk
hotel,hotell (n)
square,torg (n)
bookstore,bokhandel
house,hus (n)
stable,stall (n)
bridge,bro
hut,hydda
stadium,stadion
building,byggnad
inn,värdshus (n)
store,affär
castle,slott (n)
library,bibliotek (n)
suburb,förort
cathedral,katedral
market,marknad
theater,teater
cemetery,kyrkogård
monument,monument
tower,torn (n)
church,kyrka
museum,museum
town,stad
cinema,biograf
palace,palats (n)
town hall,rådhus (n)
consulate,konsulat (n)
path,stig
train station
järnvägsstation
corner,hörn (n)
pharmacy,apotek (n)
university,universitet (n)
police station,polisstation
village,by
