foreigner,utlänning
sound,ljud (n)
connection,förbindelse
surface,yta
ore,malm
part,del
1/6,sjättdel
state border,ländgäns
government,regering
newspaper,tidning
part,fest
life,liv (n)
death,död
guest,gäst
goods,varor
note,lapp
cross,tvär (n)
place,ställe (n)
birthday,födelsdag
moment,ögonblick (n)
message,meddelande (n)
continuation,ifortsättning
department,avdelning
equipment,utrustning
speech,tal (n)
button,knapp
population,befolkning
queen,drotning
citizenship,medborgarskap (n)
language,språk (n)
friend * 2,kompis/vän
desire,lust
page,sida
homework,läxa
family,släkt
thing,sak
place/sight,sevärdhet
future,framtid
tip,driks (n)
